id;region;departement;commune
1;synthesize invoice Jewelery;virtual;Bermudian Dollar (customarily known as Bermuda Dollar)
2;Pennsylvania;Consultant models overriding;matrix function
3;copying;redundant Awesome Metal Chips Personal Loan Account;holistic
4;Tugrik interface Assistant;overriding neural transmit;Central
5;Rubber evolve;Avon monitor;extranet
6;Buckinghamshire Practical;Tactics Borders Object-based;Small Fresh Chicken indexing
7;TCP;Quality;Soft payment
8;Metal bluetooth Rhode Island;Berkshire Practical Steel Tuna Cambridgeshire;process improvement Turkmenistan Executive
9;Computers;Soft;Isle
10;transmitter National;quantify sensor;incremental
